id,label,type,author,degree_centrality,community,top_terms
16384,One way to keep momentum going is to have constantly greater goals.,quote,Michael Korda,0.0002089864158829676,community_12,success_failure_succeed
8196,Attitudes are more important than facts.,quote,George MacDonald,0.0012539184952978057,community_33,truth_lie_falsehood
8197,The principle part of faith is patience.,quote,George MacDonald,0.0012539184952978057,community_6,faith_god_believe
8198,It is not in the nature of politics that the best men should be elected. The best men do not want to govern their fellowmen.,quote,George MacDonald,0.0012539184952978057,community_21,politics_democracy_government
16390,Love is not a feeling of happiness. Love is a willingness to sacrifice.,quote,Michael Novak,0.003970741901776384,community_0,love_life_loving
16392,"I shall suggest, on the contrary, that all communication relies, to a noticeable extent on evoking knowledge that we cannot tell, and that all our knowledge of mental processes, like feelings or conscious intellectual activities, is based on a knowledge which we cannot tell.",quote,Michael Polanyi,0.0002089864158829676,community_10,knowledge_wisdom_ignorance
16391,We really feel happier when things look bleak. Hope is endurance. Hope is holding on and going on and trusting in the Lord.,quote,Michael Novak,0.0010449320794148381,community_1,hope_anger_god
10,Very often a change of self is needed more than a change of scene.,quote,A. C. Benson,0.0002089864158829676,community_36,men_man_great
16395,Reason is an action of the mind knowledge is a possession of the mind but faith is an attitude of the person. It means you are prepared to stake yourself on something being so.,quote,Michael Ramsey,0.0012539184952978057,community_6,faith_god_believe
8205,Politics is an act of faith you have to show some kind of confidence in the intellectual and moral capacity of the public.,quote,George McGovern,0.0010449320794148381,community_6,faith_god_believe
16399,Music is a performance and needs the audience.,quote,Michael Tippett,0.0006269592476489029,community_28,friendship_music_friends
16,"Even when poetry has a meaning, as it usually has, it may be inadvisable to draw it out... Perfect understanding will sometimes almost extinguish pleasure.",quote,A. E. Housman,0.0018808777429467085,community_13,poetry_poet_poem
16401,"Poetry is fascinating. As soon as it begins the poetry has changed the thing into something extra, and somehow prose can go over into poetry.",quote,Michael Tippett,0.002716823406478579,community_13,poetry_poet_poem
16404,Any existence deprived of freedom is a kind of death.,quote,Michel Aoun,0.0006269592476489029,community_22,freedom_free_liberty
8216,People didn't have the political guts to stand up against an American war.,quote,George McGovern,0.0002089864158829676,community_9,war_peace_justice
16409,"What strikes me is the fact that in our society, art has become something which is only related to objects, and not to individuals, or to life.",quote,Michel Foucault,0.0008359456635318704,community_23,art_artist_nature
27,"We cannot have peace if we are only concerned with peace. War is not an accident. It is the logical outcome of a certain way of life. If we want to attack war, we have to attack that way of life.",quote,A. J. Muste,0.003343782654127482,community_9,war_peace_justice
16411,"Power is not an institution, and not a structure neither is it a certain strength we are endowed with it is the name that one attributes to a complex strategical situation in a particular society.",quote,Michel Foucault,0.0006269592476489029,community_32,power_religion_human
16415,"Those who have compared our life to a dream were right... we were sleeping wake, and waking sleep.",quote,Michel de Montaigne,0.0002089864158829676,community_29,dreams_best_live
16416,The most certain sign of wisdom is cheerfulness.,quote,Michel de Montaigne,0.0004179728317659352,community_35,happiness_happy_life
36,"The poet exposes himself to the risk. All that has been said about poetry, all that he has learned about poetry, is only a partial assurance.",quote,A. R. Ammons,0.0002089864158829676,community_13,poetry_poet_poem
38,"Poetry leads us to the unstructured sources of our beings, to the unknown, and returns us to our rational, structured selves refreshed.",quote,A. R. Ammons,0.0002089864158829676,community_13,poetry_poet_poem
16423,There are some defeats more triumphant than victories.,quote,Michel de Montaigne,0.0012539184952978057,community_12,success_failure_succeed
8232,A witty woman is a treasure a witty beauty is a power.,quote,George Meredith,0.0002089864158829676,community_8,beauty_woman_beautiful
16425,"If there is such a thing as a good marriage, it is because it resembles friendship rather than love.",quote,Michel de Montaigne,0.001671891327063741,community_38,marriage_love_married
8233,Jealousy is love bed of burning snarl.,quote,George Meredith,0.0014629049111807733,community_7,jealousy_fear_love
39,"Besides the actual reading in class of many poems, I would suggest you do two things: first, while teaching everything you can and keeping free of it, teach that poetry is a mode of discourse that differs from logical exposition.",quote,A. R. Ammons,0.0006269592476489029,community_13,poetry_poet_poem
16431,We can be knowledgable with other men's knowledge but we cannot be wise with other men's wisdom.,quote,Michel de Montaigne,0.0008359456635318704,community_10,knowledge_wisdom_ignorance
48,It is our experience that political leaders do not always mean the opposite of what they say.,quote,Abba Eban,0.0006269592476489029,community_21,politics_democracy_government
50,"You measure a democracy by the freedom it gives its dissidents, not the freedom it gives its assimilated conformists.",quote,Abbie Hoffman,0.0006269592476489029,community_21,politics_democracy_government
16434,"The strangest, most generous, and proudest of all virtues is true courage.",quote,Michel de Montaigne,0.0002089864158829676,community_4,courage_fear_man
16437,"Valor is stability, not of legs and arms, but of courage and the soul.",quote,Michel de Montaigne,0.0008359456635318704,community_4,courage_fear_man
16440,It is good to rub and polish our brain against that of others.,quote,Michel de Montaigne,0.0002089864158829676,community_34,attitude_best_success
16441,"The value of life lies not in the length of days, but in the use we make of them... Whether you find satisfaction in life depends not on your tale of years, but on your will.",quote,Michel de Montaigne,0.0012539184952978057,community_39,life_change_death
8249,Who controls the past controls the future. Who controls the present controls the past.,quote,George Orwell,0.0002089864158829676,community_37,future_history_past
16447,There is no desire more natural than the desire for knowledge.,quote,Michel de Montaigne,0.0006269592476489029,community_10,knowledge_wisdom_ignorance
8255,"The essential act of war is destruction, not necessarily of human lives, but of the products of human labor.",quote,George Orwell,0.0008359456635318704,community_9,war_peace_justice
65,"Learning is not attained by chance, it must be sought for with ardor and diligence.",quote,Abigail Adams,0.0004179728317659352,community_26,education_learning_experience
16450,"Marriage is like a cage one sees the birds outside desperate to get in, and those inside equally desperate to get out.",quote,Michel de Montaigne,0.0002089864158829676,community_38,marriage_love_married
67,"Wisdom and penetration are the fruit of experience, not the lessons of retirement and leisure. Great necessities call out great virtues.",quote,Abigail Adams,0.0008359456635318704,community_10,knowledge_wisdom_ignorance
8262,Happiness can exist only in acceptance.,quote,George Orwell,0.003970741901776384,community_35,happiness_happy_life
71,"Remember that it is not enough to abstain from lying by word of mouth for the worst lies are often conveyed by a false look, smile, or act.",quote,Abraham Cahan,0.0002089864158829676,community_33,truth_lie_falsehood
16455,Death and love are the two wings that bear the good man to heaven.,quote,Michelangelo,0.0004179728317659352,community_38,marriage_love_married
8265,"In our age there is no such thing as 'keeping out of politics.' All issues are political issues, and politics itself is a mass of lies, evasions, folly, hatred and schizophrenia.",quote,George Orwell,0.0008359456635318704,community_21,politics_democracy_government
16458,The true work of art is but a shadow of the divine perfection.,quote,Michelangelo,0.0004179728317659352,community_23,art_artist_nature
75,Worship is a way of seeing the world in the light of God.,quote,Abraham Joshua Heschel,0.0006269592476489029,community_16,imagination_nature_god
8267,War is peace. Freedom is slavery. Ignorance is strength.,quote,George Orwell,0.001671891327063741,community_9,war_peace_justice
77,"Man's sin is in his failure to live what he is. Being the master of the earth, man forgets that he is the servant of God.",quote,Abraham Joshua Heschel,0.0008359456635318704,community_1,hope_anger_god
78,Wonder rather than doubt is the root of all knowledge.,quote,Abraham Joshua Heschel,0.0008359456635318704,community_10,knowledge_wisdom_ignorance
8271,"On the whole, human beings want to be good, but not too good, and not quite all the time.",quote,George Orwell,0.0014629049111807733,community_35,happiness_happy_life
80,"God is not a hypothesis derived from logical assumptions, but an immediate insight, self-evident as light. He is not something to be sought in the darkness with the light of reason. He is the light.",quote,Abraham Joshua Heschel,0.0020898641588296763,community_16,imagination_nature_god
8272,"War is evil, but it is often the lesser evil.",quote,George Orwell,0.0014629049111807733,community_9,war_peace_justice
8274,Freedom is the right to tell people what they do not want to hear.,quote,George Orwell,0.0006269592476489029,community_22,freedom_free_liberty
16467,Faith in oneself is the best and safest course.,quote,Michelangelo,0.0004179728317659352,community_6,faith_god_believe
16464,I am still learning.,quote,Michelangelo,0.0012539184952978057,community_31,learning_teacher_new
8277,"There is hardly such a thing as a war in which it makes no difference who wins. Nearly always one side stands more of less for progress, the other side more or less for reaction.",quote,George Orwell,0.0010449320794148381,community_9,war_peace_justice
86,Most folks are as happy as they make up their minds to be.,quote,Abraham Lincoln,0.0006269592476489029,community_35,happiness_happy_life
8279,"Power is not a means, it is an end. One does not establish a dictatorship in order to safeguard a revolution one makes the revolution in order to establish the dictatorship.",quote,George Orwell,0.0010449320794148381,community_32,power_religion_human
8280,"Freedom is the freedom to say that two plus two make four. If that is granted, all else follows.",quote,George Orwell,0.0004179728317659352,community_22,freedom_free_liberty
81,"A religious man is a person who holds God and man in one thought at one time, at all times, who suffers harm done to others, whose greatest passion is compassion, whose greatest strength is love and defiance of despair.",quote,Abraham Joshua Heschel,0.0002089864158829676,community_27,religion_politics_man
8282,"All political thinking for years past has been vitiated in the same way. People can foresee the future only when it coincides with their own wishes, and the most grossly obvious facts can be ignored when they are unwelcome.",quote,George Orwell,0.0010449320794148381,community_21,politics_democracy_government
8283,Men are only as good as their technical development allows them to be.,quote,George Orwell,0.0010449320794148381,community_36,men_man_great
90,Those who deny freedom to others deserve it not for themselves.,quote,Abraham Lincoln,0.0004179728317659352,community_9,war_peace_justice
16477,"I guess the nicest thing about being, I won't say famous but being popular is a more proper word for me to use would be that if you've got a recognizable name, a lot of times you can get people to do things for you ordinarily that you wouldn't get done.",quote,Mickey Gilley,0.0004179728317659352,community_12,success_failure_succeed
8286,War is war. The only good human being is a dead one.,quote,George Orwell,0.0018808777429467085,community_9,war_peace_justice
8287,Men can only be happy when they do not assume that the object of life is happiness.,quote,George Orwell,0.0008359456635318704,community_35,happiness_happy_life
8290,War is a way of shattering to pieces... materials which might otherwise be used to make the masses too comfortable and... too intelligent.,quote,George Orwell,0.0006269592476489029,community_9,war_peace_justice
16482,You always pass failure on your way to success.,quote,Mickey Rooney,0.0004179728317659352,community_12,success_failure_succeed
98,The best thing about the future is that it comes one day at a time.,quote,Abraham Lincoln,0.0014629049111807733,community_37,future_history_past
8291,"Whatever is funny is subversive, every joke is ultimately a custard pie... a dirty joke is a sort of mental rebellion.",quote,George Orwell,0.0002089864158829676,community_14,humor_funny_comedy
100,"Surely God would not have created such a being as man, with an ability to grasp the infinite, to exist only for a day! No, no, man was made for immortality.",quote,Abraham Lincoln,0.0002089864158829676,community_1,hope_anger_god
103,The best way to destroy an enemy is to make him a friend.,quote,Abraham Lincoln,0.0004179728317659352,community_28,friendship_music_friends
101,"Marriage is neither heaven nor hell, it is simply purgatory.",quote,Abraham Lincoln,0.0002089864158829676,community_38,marriage_love_married
16489,Hope is the feeling we have that the feeling we have is not permanent.,quote,Mignon McLaughlin,0.0008359456635318704,community_1,hope_anger_god
14006,Travel can be one of the most rewarding forms of introspection.,quote,Lawrence Durrell,0.0006269592476489029,community_24,travel_reflects_journey
108,"This country, with its institutions, belongs to the people who inhabit it. Whenever they shall grow weary of the existing government, they can exercise their constitutional right of amending it, or exercise their revolutionary right to overthrow it.",quote,Abraham Lincoln,0.0002089864158829676,community_20,government_people_bible
16494,"There are a handful of people whom money won't spoil, and we all count ourselves among them.",quote,Mignon McLaughlin,0.0002089864158829676,community_11,money_business_people
8304,"If a man does his best, what else is there?",quote,George S. Patton,0.0002089864158829676,community_36,men_man_great
8306,Success is how high you bounce when you hit bottom.,quote,George S. Patton,0.0004179728317659352,community_12,success_failure_succeed
115,Am I not destroying my enemies when I make friends of them?,quote,Abraham Lincoln,0.0002089864158829676,community_28,friendship_music_friends
16499,A sense of humor is a major defense against minor troubles.,quote,Mignon McLaughlin,0.0004179728317659352,community_14,humor_funny_comedy
16502,Courage can't see around corners but goes around them anyway.,quote,Mignon McLaughlin,0.0004179728317659352,community_4,courage_fear_man
120,"Government of the people, by the people, for the people, shall not perish from the Earth.",quote,Abraham Lincoln,0.0002089864158829676,community_20,government_people_bible
8313,"If we take the generally accepted definition of bravery as a quality which knows no fear, I have never seen a brave man. All men are frightened. The more intelligent they are, the more they are frightened.",quote,George S. Patton,0.0004179728317659352,community_4,courage_fear_man
8317,Courage is fear holding on a minute longer.,quote,George S. Patton,0.0014629049111807733,community_4,courage_fear_man
16509,The knowledge of yourself will preserve you from vanity.,quote,Miguel de Cervantes,0.0002089864158829676,community_29,dreams_best_live
127,"That some achieve great success, is proof to all that others can achieve it as well.",quote,Abraham Lincoln,0.0004179728317659352,community_12,success_failure_succeed
16513,Proverbs are short sentences drawn from long experience.,quote,Miguel de Cervantes,0.0004179728317659352,community_10,knowledge_wisdom_ignorance
8323,The object of war is not to die for your country but to make the other bastard die for his.,quote,George S. Patton,0.0006269592476489029,community_9,war_peace_justice
16517,A proverb is a short sentence based on long experience.,quote,Miguel de Cervantes,0.0004179728317659352,community_10,knowledge_wisdom_ignorance
16520,Truth will rise above falsehood as oil above water.,quote,Miguel de Cervantes,0.0008359456635318704,community_33,truth_lie_falsehood
8329,"Don't walk in front of me, I may not follow. Don't walk behind me, I may not lead. There is only one happiness in life, to love and be loved.",quote,George Sand,0.0002089864158829676,community_35,happiness_happy_life
8330,"Faith is an excitement and an enthusiasm: it is a condition of intellectual magnificence to which we must cling as to a treasure, and not squander on our way through life in the small coin of empty words, or in exact and priggish argument.",quote,George Sand,0.0020898641588296763,community_6,faith_god_believe
137,"At what point then is the approach of danger to be expected? I answer, if it ever reach us, it must spring up amongst us. It cannot come from abroad. If destruction be our lot, we must ourselves be its author and finisher. As a nation of freemen, we must live through all time, or die by suicide.",quote,Abraham Lincoln,0.0002089864158829676,community_4,courage_fear_man
8332,Life in common among people who love each other is the ideal of happiness.,quote,George Sand,0.0014629049111807733,community_0,love_life_loving
16522,"Truth may be stretched, but cannot be broken, and always gets above falsehood, as does oil above water.",quote,Miguel de Cervantes,0.0006269592476489029,community_33,truth_lie_falsehood
16526,"That's the nature of women, not to love when we love them, and to love when we love them not.",quote,Miguel de Cervantes,0.0010449320794148381,community_0,love_life_loving
8334,The beauty that addresses itself to the eyes is only the spell of the moment the eye of the body is not always that of the soul.,quote,George Sand,0.0014629049111807733,community_8,beauty_woman_beautiful
8336,"There is only one happiness in this life, to love and be loved.",quote,George Sand,0.0010449320794148381,community_35,happiness_happy_life
16521,"God bears with the wicked, but not forever.",quote,Miguel de Cervantes,0.0002089864158829676,community_16,imagination_nature_god
8338,Wisdom comes by disillusionment.,quote,George Santayana,0.0006269592476489029,community_10,knowledge_wisdom_ignorance
16525,"Truth indeed rather alleviates than hurts, and will always bear up against falsehood, as oil does above water.",quote,Miguel de Cervantes,0.0004179728317659352,community_33,truth_lie_falsehood
140,"The people will save their government, if the government itself will allow them.",quote,Abraham Lincoln,0.0004179728317659352,community_20,government_people_bible
8341,Intelligence is quickness in seeing things as they are.,quote,George Santayana,0.0010449320794148381,community_26,education_learning_experience
16534,"Life is doubt, and faith without doubt is nothing but death.",quote,Miguel de Unamuno,0.0008359456635318704,community_6,faith_god_believe
8343,Character is the basis of happiness and happiness the sanction of character.,quote,George Santayana,0.0004179728317659352,community_35,happiness_happy_life
8345,The family is one of nature's masterpieces.,quote,George Santayana,0.0006269592476489029,community_16,imagination_nature_god
8346,It takes patience to appreciate domestic bliss volatile spirits prefer unhappiness.,quote,George Santayana,0.0002089864158829676,community_35,happiness_happy_life
16539,Faith which does not doubt is dead faith.,quote,Miguel de Unamuno,0.005433646812957158,community_6,faith_god_believe
16540,"True science teaches, above all, to doubt and to be ignorant.",quote,Miguel de Unamuno,0.0004179728317659352,community_10,knowledge_wisdom_ignorance
8349,"We must welcome the future, remembering that soon it will be the past and we must respect the past, remembering that it was once all that was humanly possible.",quote,George Santayana,0.0002089864158829676,community_37,future_history_past
8350,Friendship is almost always the union of a part of one mind with the part of another people are friends in spots.,quote,George Santayana,0.0012539184952978057,community_28,friendship_music_friends
8352,One's friends are that part of the human race with which one can be human.,quote,George Santayana,0.0014629049111807733,community_28,friendship_music_friends
16545,It is truer to say that martyrs create faith more than faith creates martyrs.,quote,Miguel de Unamuno,0.0002089864158829676,community_6,faith_god_believe
16546,"There is no true love save in suffering, and in this world we have to choose either love, which is suffering, or happiness. Man is the more man - that is, the more divine - the greater his capacity for suffering, or rather, for anguish.",quote,Miguel de Unamuno,0.0004179728317659352,community_0,love_life_loving
163,"The greatest truth is honesty, and the greatest falsehood is dishonesty.",quote,Abu Bakr,0.0006269592476489029,community_33,truth_lie_falsehood
8353,The great difficulty in education is to get experience out of ideas.,quote,George Santayana,0.0006269592476489029,community_10,knowledge_wisdom_ignorance
165,God helps those who fear Him.,quote,Abu Bakr,0.0012539184952978057,community_2,god_forgiveness_anger
16548,"And, in fact, you can find that the lack of basic resources, material resources, contributes to unhappiness, but the increase in material resources do not increase happiness.",quote,Mihaly Csikszentmihalyi,0.0002089864158829676,community_35,happiness_happy_life
