source,target,weight
2,15669,0.3246879577636719
2,17629,0.25827646255493164
2,17800,0.2854458689689636
4,2673,0.27702051401138306
6,2191,0.32760268449783325
6,8281,0.30533766746520996
6,18076,0.3046894669532776
6,3133,0.27317631244659424
6,8154,0.25816094875335693
6,1136,0.28573352098464966
6,10735,0.34673476219177246
7,2211,0.27656233310699463
7,8630,0.28375595808029175
7,20587,0.2592547535896301
7,21496,0.2603767514228821
8,10109,0.25826865434646606
8,6171,0.2502337098121643
9,12496,0.25800925493240356
10,17597,0.3199858069419861
10,17242,0.28263455629348755
10,10210,0.27048248052597046
10,10685,0.2537575364112854
11,4866,0.2755775451660156
11,18633,0.26385974884033203
12,5410,0.26366639137268066
16,10323,0.3297383189201355
16,7706,0.3235209584236145
16,22464,0.3184088468551636
16,22511,0.3092878460884094
16,9143,0.30621856451034546
16,16939,0.30328893661499023
16,5925,0.29943084716796875
16,4072,0.29709404706954956
16,4179,0.2967403531074524
16,21381,0.2929251194000244
16,20971,0.2910229563713074
16,14689,0.2896021008491516
16,20968,0.28712981939315796
16,1544,0.28679078817367554
16,13614,0.2828139662742615
16,3965,0.27774423360824585
16,19235,0.27583736181259155
16,1117,0.2715625762939453
16,21199,0.26854407787323
16,42,0.2680051326751709
16,6001,0.2828260064125061
16,10589,0.25652867555618286
16,11061,0.2589223384857178
16,15624,0.25670427083969116
16,15625,0.3063473105430603
16,15629,0.2502114772796631
16,18220,0.2588196396827698
16,20049,0.3076673746109009
16,20970,0.32113736867904663
16,22348,0.2537463903427124
16,22678,0.2504723072052002
21,2783,0.25920236110687256
22,6379,0.35135889053344727
27,11836,0.37431466579437256
27,2460,0.34236520528793335
27,12422,0.3373279571533203
27,1654,0.3360481262207031
27,4421,0.33585113286972046
27,20801,0.33524566888809204
27,4124,0.3265863060951233
27,5454,0.3091711401939392
27,6651,0.3073956370353699
27,14749,0.3047480583190918
27,4546,0.30219924449920654
27,23577,0.2966628670692444
27,23822,0.2950441241264343
27,1716,0.29455316066741943
27,21227,0.2941247820854187
27,14296,0.2907094359397888
27,13909,0.2879364490509033
27,5541,0.28601711988449097
27,10330,0.2854546904563904
27,14197,0.27831000089645386
27,137,0.2657153010368347
27,600,0.2722133994102478
27,5535,0.2656465768814087
27,6230,0.2754409909248352
27,6668,0.2760498523712158
27,8414,0.3026479482650757
27,8972,0.26871615648269653
27,9434,0.26569366455078125
27,11027,0.2555620074272156
27,11069,0.26070547103881836
27,11591,0.30782121419906616
27,12368,0.27319931983947754
27,12396,0.25143861770629883
27,12421,0.2536895275115967
27,14014,0.25799500942230225
27,14712,0.2613929510116577
27,17431,0.33067262172698975
27,18173,0.3316385746002197
27,19582,0.27770137786865234
27,19592,0.2749580144882202
27,20496,0.3208908438682556
27,21482,0.2934224009513855
27,23584,0.26296502351760864
27,23690,0.27397340536117554
31,6305,0.2661525011062622
33,6049,0.2676618695259094
34,4212,0.267034113407135
34,4556,0.2550963759422302
35,8956,0.25248783826828003
36,17529,0.3106696605682373
36,23882,0.25787609815597534
36,10323,0.25507259368896484
38,7740,0.2529382109642029
38,6001,0.25215214490890503
38,19229,0.2509130835533142
38,12203,0.25014829635620117
38,15402,0.27145230770111084
38,17768,0.3312474489212036
38,17925,0.26163965463638306
38,20970,0.29131853580474854
38,22290,0.2989041209220886
38,23616,0.26936715841293335
39,11067,0.31846392154693604
39,239,0.31353795528411865
39,10393,0.31027328968048096
39,19447,0.28934597969055176
39,20762,0.2849395275115967
39,21201,0.2734552025794983
39,22464,0.2656141519546509
39,20774,0.26307451725006104
42,15633,0.3407566547393799
42,22678,0.28587234020233154
42,4179,0.2668215036392212
42,20970,0.2862176299095154
44,15254,0.2839708924293518
47,1985,0.28348320722579956
48,17576,0.3889135718345642
48,17525,0.28401219844818115
48,5382,0.2808299660682678
48,23670,0.2750680446624756
48,3377,0.27434784173965454
48,4203,0.26906853914260864
48,22330,0.26575028896331787
48,612,0.2591785788536072
48,14330,0.25452375411987305
48,5679,0.25026631355285645
48,1120,0.2664702534675598
48,5841,0.3235545754432678
48,10720,0.2842499017715454
48,12539,0.31026017665863037
48,12556,0.25840848684310913
48,21441,0.2920912504196167
48,22355,0.2716161608695984
48,23223,0.27562183141708374
50,23826,0.36059874296188354
50,1784,0.3177790641784668
50,13048,0.2968320846557617
50,14330,0.27393239736557007
